x,y,z,qx,qy,qz,qw,nx,ny,nz
0.5352772096059343,0.08349709349590757,0.28019064127752297,-0.07121887054685774,0.8140354152941734,-0.5742388171770928,0.05023938665953125,-0.16358655993406432,0.927745483287862,0.33545156975025486
0.5280559830674091,0.08189618611458101,0.28019064127752297,-0.10665881207172542,0.8101541104521879,-0.5715008577963452,0.07523951530222796,-0.24382241036212107,0.9099576234953446,0.33545156975025486
0.5210017637479007,0.07967199930665328,0.28019064127752297,-0.14189572248572413,0.804730631214807,-0.5676750140507969,0.10009642125121243,-0.32220262502332564,0.8852444367405922,0.33545156975025486
0.5141682385158846,0.07684146047673344,0.28019064127752297,-0.17686252632714547,0.7977753014830098,-0.5627685686514643,0.1247627879732365,-0.3981306831568383,0.8537940052970384,0.33545156975025486
0.5076074146245717,0.07342611173444327,0.28019064127752297,-0.21149266229749428,0.7893013611222558,-0.5567908612960292,0.14919166163730022,-0.4710287263936482,0.8158456859382586,0.33545156975025486
0.5013692239053087,0.0694519459459555,0.28019064127752297,-0.24572020996470278,0.7793249407596486,-0.5497532708901931,0.17333654049393768,-0.5403419566076816,0.7716882882883944,0.33545156975025486
0.4955011427561917,0.06494920891258749,0.28019064127752297,-0.27948001524641974,0.7678650310783715,-0.5416691938872845,0.19715146339393996,-0.6055428582645365,0.7216578768065277,0.33545156975025486
0.4900478308180099,0.0599521691819901,0.28019064127752297,-0.3127078144345093,0.7549434466678414,-0.532554018787347,0.22059109727801512,-0.6661352131332233,0.6661352131332234,0.33545156975025486
0.48505079108741256,0.05449885724380829,0.28019064127752297,-0.3453403565246725,0.7405847844983986,-0.5224250968442561,0.24361082347084329,-0.7216578768065276,0.6055428582645366,0.33545156975025486
0.4805480540540446,0.04863077609469136,0.28019064127752297,-0.37731552361832826,0.7248163770995756,-0.5113017090366205,0.2661668226152606,-0.7716882882883943,0.5403419566076818,0.33545156975025486
0.4765738882655568,0.042392585375428345,0.28019064127752297,-0.4085724491675642,0.7076682405310737,-0.4992050293653445,0.2882161580848967,-0.8158456859382586,0.47102872639364834,0.33545156975025486
0.4731585395232666,0.03583176148411546,0.28019064127752297,-0.43905163383806967,0.6891730172454875,-0.4861580845477124,0.3097168577164825,-0.8537940052970383,0.39813068315683847,0.33545156975025486
0.4703280006933468,0.02899823625209932,0.28019064127752297,-0.4686950587695008,0.6693659139515409,-0.47218571018472466,0.3306279937062495,-0.8852444367405921,0.3222026250233258,0.33545156975025486
0.468103813885419,0.02194401693259089,0.28019064127752297,-0.4974462960176786,0.648284634596116,-0.4573145034851188,0.35090976051833006,-0.9099576234953446,0.24382241036212102,0.33545156975025486
0.46650290650409243,0.014722790394065786,0.28019064127752297,-0.5252506159683874,0.6259693085926474,-0.441572772636072,0.37052355065685694,-0.927745483287862,0.1635865599340643,0.33545156975025486
0.46553746242119326,0.007389514530777941,0.28019064127752297,-0.5520550915183071,0.602462414432503,-0.4249904829169567,0.38943202815752664,-0.93847263976452,0.08210571700864379,0.33545156975025486
0.46521482924914337,1.0383188797519846e-17,0.28019064127752297,-0.5778086988247613,0.5778086988247614,-0.4075991996587288,0.40759919965872876,-0.9420574527872968,1.1536876441688717e-16,0.33545156975025486
0.46553746242119326,-0.00738951453077792,0.28019064127752297,0.602462414432503,-0.5520550915183071,0.38943202815752664,-0.42499048291695657,-0.93847263976452,-0.08210571700864355,0.33545156975025486
