x,y,z,qx,qy,qz,qw,nx,ny,nz
0.6383883476483185,0.0,0.33838834764831843,0.2705980500730985,-0.2705980500730985,0.6532814824381883,-0.6532814824381884,0.7071067811865475,0.0,0.7071067811865476
0.6380520033003448,0.007703552089527417,0.33838834764831843,0.2821438218554906,-0.2585371795226044,0.6241639651811594,-0.681155441263304,0.7044160264027586,0.061628416716219346,0.7071067811865476
0.6370455300400024,0.015348475496121602,0.33838834764831843,0.29315251683697424,-0.24598416875659646,0.5938583163412474,-0.7077327819916305,0.6963642403200189,0.12278780396897282,0.7071067811865476
0.6353765877365274,0.022876587736527412,0.33838834764831843,0.303603179340959,-0.23296291314453416,0.5624222244434798,-0.7329629131445341,0.6830127018922193,0.1830127018922193,0.7071067811865476
0.6330578780485844,0.030230595330996902,0.33838834764831843,0.3134759159373913,-0.21949819938655474,0.5299155298754943,-0.7567978077333787,0.6644630243886747,0.24184476264797522,0.7071067811865476
0.6301070477569736,0.03735452984126498,0.33838834764831843,0.3227519333110307,-0.20561565833058099,0.49640011097796105,-0.7791920946816271,0.6408563820557884,0.29883623873011983,0.7071067811865476
0.6265465544619743,0.04419417382415921,0.33838834764831843,0.3314135740355918,-0.1913417161825449,0.4619397662556434,-0.8001031451912655,0.6123724356957945,0.3535533905932737,0.7071067811865476
0.6224034956674461,0.05069747345907985,0.33838834764831843,0.33944435018565994,-0.17670354420260312,0.42660009293331824,-0.8194911538891425,0.5792279653395691,0.4055797876726388,0.7071067811865476
0.6177094025524628,0.05681493470900545,0.33838834764831843,0.346828974722394,-0.16172900698309875,0.3904483620877301,-0.837319214598759,0.5416752204197018,0.4545194776720436,0.7071067811865476
0.6125,0.062499999999999986,0.33838834764831843,0.35355339059327373,-0.14644660940672624,0.35355339059327384,-0.8535533905932737,0.5,0.4999999999999999,0.7071067811865476
0.6068149347090055,0.06770940255246273,0.33838834764831843,0.3596047974904981,-0.13088544238586686,0.3159854101251621,-0.8681627791959909,0.45451947767204365,0.5416752204197018,0.7071067811865476
0.6006974734590799,0.07240349566744614,0.33838834764831843,0.3649716762170988,-0.1150751274863838,0.27781593346944067,-0.8811195706053618,0.40557978767263886,0.5792279653395691,0.7071067811865476
0.5941941738241592,0.07654655446197431,0.33838834764831843,0.36964381061438606,-0.09904576054128762,0.23911761839433457,-0.8923991008325228,0.3535533905932738,0.6123724356957945,0.7071067811865476
0.587354529841265,0.08010704775697355,0.33838834764831843,0.37361230700898823,-0.08282785436160815,0.19996412934205793,-0.9019798986505999,0.29883623873011983,0.6408563820557884,0.7071067811865476
0.580230595330997,0.08305787804858432,0.33838834764831843,0.3768696111424633,-0.06645228065352385,0.16042999720436055,-0.9098437264664095,0.2418447626479753,0.6644630243886746,0.7071067811865476
0.5728765877365275,0.0853765877365274,0.33838834764831843,0.3794095225512603,-0.04995021125231485,0.12059047744873973,-0.9159756150367535,0.18301270189221944,0.6830127018922192,0.7071067811865476
